Open,High,Low,Close,Volume
81.195,81.258,80.381,81.1308,12548681.500829
80.2261,81.1495,79.6569,80.9325,10773550.336473
80.1926,80.6869,78.8371,80.1088,14791790.667992
80.2636,80.7904,79.6796,80.5704,15325048.785808
79.7575,80.7796,78.991,79.7141,14256653.271067
80.1186,80.5536,78.9407,79.3698,15869532.910173
79.5977,80.6967,78.8687,80.4007,16213905.232034
78.8469,81.9348,78.7907,80.8131,29560148.124303
77.6976,78.8647,77.6976,78.7374,18009962.888958
78.3488,78.8094,76.9942,78.2323,15634981.848215
76.6598,79.2801,76.6598,78.8647,33515254.205904
72.9109,73.4781,72.2686,72.4857,10925300.60413
72.314,73.5837,71.9726,73.2996,11587065.327647
71.5514,72.609,71.5416,72.537,10568282.173221
70.7474,72.1167,70.6665,71.7507,10823394.819181
71.068,71.0729,70.2797,70.7908,11033006.407992
73.1033,73.3992,70.4406,70.6201,14027313.306144
73.2552,74.0336,72.9247,72.9247,10381572.651403
73.7721,74.0671,73.4761,73.6024,7000148.4475402
73.4081,74.0868,73.1999,73.781,8032298.4054294
73.4081,73.8283,73.4081,73.5591,6091731.8885956
73.8717,73.8717,72.6188,73.3518,7850929.7259143
75.6091,75.6821,74.1855,74.3473,8888261.3854263
74.7498,75.6051,74.6511,75.537,8254085.776692
74.5969,74.9649,74.4726,74.9195,5472210.3996503
74.3473,74.5781,74.1312,74.5259,5724520.3451046
74.3552,74.882,74.149,74.1953,7010788.5731145
74.5436,75.2046,74.3473,74.5525,7349631.5165821
75.468,75.5815,74.3907,74.4272,6317929.5853199
76.6765,76.7465,75.4206,75.4582,7135622.7795633
76.8363,77.2556,76.5768,76.8452,19435173.093992
75.4768,76.6815,75.4206,76.4319,11227175.269059
75.1434,75.4768,75.0073,75.2145,6876763.7390024
75.4768,75.4768,74.8346,75.2145,6726714.3507126
74.7686,75.4621,74.6255,75.4384,7927937.5967464
74.7409,74.9165,74.293,74.8642,5588555.4137886
74.5613,74.7596,74.0069,74.7212,5950703.8509403
73.3332,74.4824,73.1545,74.4174,6617231.644866
73.5423,73.7988,73.0934,73.4328,5818828.9364569
73.9438,74.4084,73.7297,73.7642,7575208.8687459
73.5137,73.6024,72.752,73.343,12408622.49814
74.2377,74.5919,73.8629,74.0069,8421933.5802392
73.5235,74.7409,73.5235,74.5781,8545643.6655809
73.855,74.2841,73.4861,74.0523,6478199.4543342
74.6353,74.7952,73.7721,74.2743,7454506.2381608
74.6689,74.9836,74.4884,74.6876,5081072.0042797
74.7774,74.9994,74.5781,74.7596,5048408.6331733
74.9649,75.0902,74.6067,74.7498,6036530.3454265
74.7686,75.0536,74.3384,74.7123,4401804.8468963
74.516,74.812,74.3473,74.6423,5981679.5199336
74.3295,74.8554,74.1766,74.5347,4828107.2506783
75.0438,75.0813,74.373,74.6689,5732102.3341771
74.8297,75.2145,74.3996,75.1276,9531721.88987
75.1178,75.17,74.5969,74.8919,7589549.7753501
74.9747,75.393,74.8554,74.9383,9391483.4738039
73.8373,75.2145,73.702,74.9383,13812534.206599
72.7975,73.7514,72.3604,73.6932,9775933.9060862
72.8783,73.1723,72.7363,72.8053,6954186.1865097
73.1545,73.4959,72.6632,72.9938,5660248.7968256
72.7975,73.2098,72.5301,72.9148,6216447.4997608
73.8185,73.8185,72.7975,72.8872,5771359.400326
73.5137,74.1401,73.5137,73.7386,5463101.8764142
73.7899,74.0336,73.1821,73.998,7167704.3242356
73.6024,74.2515,73.5591,73.8895,6331376.4659399
73.5501,74.4084,73.3518,73.7208,7932406.7130327
72.3505,73.6212,72.1621,73.4258,10343522.824424
72.0101,72.3683,71.7319,72.2173,8439341.7460591
71.9825,72.5113,71.1242,72.4205,11032024.195771
71.6955,72.0821,71.4912,71.8119,7918933.4779053
71.3373,72.3732,71.1499,72.1542,8368499.8163405
71.2377,72.3229,71.1588,71.7132,10912337.227358
70.487,71.2752,70.487,71.1588,6918032.8704331
69.4313,70.7474,69.4313,70.7286,9266173.8725858
70.2797,70.6853,70.0588,70.2985,6568577.1695337
70.1268,70.7868,70.1268,70.4504,9199495.9550476
70.2205,70.9062,69.745,70.4968,8946215.9609914
70.7375,71.1736,70.3922,70.7375,10261274.461145
70.6862,71.4301,70.5885,71.0137,10124050.595279
70.2847,70.6585,69.9483,70.5688,7811443.5782775
70.1712,70.5165,70.0094,70.3754,6786305.9466456
70.4001,70.5609,69.7115,70.0005,9643325.1199331
70.6585,70.846,70.1228,70.2393,8848549.1972061
69.2755,70.9328,69.2025,70.8263,14395415.834715
69.6197,69.9483,69.017,69.087,10250916.126073
70.4356,70.6497,70.0094,70.3754,8163831.7249505
69.3356,70.3211,69.3169,70.2847,8966388.3091911
69.6898,69.8871,69.017,69.1235,6646053.3396909
68.7703,69.4885,68.6964,69.3267,6866516.9037705
69.1501,69.6898,68.5819,69.2655,8655042.2397305
69.087,69.4935,68.9114,69.2557,6440033.0593408
69.31,69.8368,68.8216,68.9371,8872984.8938069
69.0238,69.4885,68.646,69.2103,10772189.024799
68.572,69.159,68.4862,69.0238,12735340.340901
68.1399,68.8779,68.1211,68.7052,13315752.754393
67.0192,68.3678,67.0192,67.8281,9794775.3516586
67.7493,67.7493,67.0291,67.3034,7441941.2199063
67.0755,68.0403,67.0557,67.7305,9595114.6166883
68.2001,68.4112,66.8958,67.2944,8322633.8506256
67.5796,68.7772,67.3665,68.6618,16840979.31464
67.9338,67.9338,67.1692,67.4296,10024710.320269
68.6776,68.6776,67.614,67.8548,9041050.6288583
69.0534,69.1146,68.4211,68.5375,9901635.7840118
68.2988,68.9371,68.2189,68.796,10198451.397141
67.3034,68.5089,67.2076,68.4862,15355439.587463
65.8235,67.7867,65.7495,67.2274,15187231.943525
65.7239,66.0347,65.4131,65.9725,7892134.9983462
65.9113,65.9941,65.3065,65.6361,7787565.3808733
65.2553,66.2132,65.1734,65.8235,9854022.3117246
65.0668,65.4269,64.6515,65.1734,8124700.3495297
66.2556,66.2734,64.5963,64.9257,17497416.37311
65.9567,66.5614,65.7061,66.4519,9160788.2790161
65.715,66.2822,65.4575,65.7061,10036360.026207
65.5729,66.2132,65.4408,65.9379,8504688.76097
65.7337,65.9725,65.3017,65.4575,7335394.0007379
65.6805,65.9281,65.418,65.8235,7429583.9968068
66.0711,66.4973,65.5108,65.6883,8727493.8216748
65.4408,65.8827,65.1478,65.715,7244649.3497037
65.6459,65.7239,64.8725,65.1734,7936984.2882535
65.2365,65.6637,65.132,65.6271,9076225.7872537
64.757,65.5995,64.7383,65.2454,9382065.7919225
65.051,65.1398,64.4186,64.7284,12963365.621355
65.4674,65.4674,64.8537,65.0224,9744801.1236829
65.3322,65.7495,64.8202,65.1044,8549461.0146246
64.7206,65.0767,64.4996,64.907,8585843.4121893
63.6846,64.3732,63.658,64.2174,8484280.2358378
63.9313,63.9954,63.1016,63.3916,9110614.3649646
64.4828,64.9721,63.7902,63.8691,7475885.8255297
63.3384,64.4364,63.3019,64.2707,9136805.6772168
62.8333,63.6393,62.7691,63.3206,10578361.758694
63.8356,63.8967,62.7613,62.9487,12206192.512616
63.9313,64.1859,63.584,63.8533,9132790.6693671
64.6959,64.6988,64.028,64.1897,14736887.133484
64.3604,64.8458,64.0744,64.6041,9179021.5436468
64.394,64.7846,64.2174,64.5529,12626952.360749
64.2529,64.5529,63.8455,64.1513,16013014.957927
64.83,65.0668,64.0201,64.3308,18653363.588942
65.2997,65.6459,64.5627,64.7748,15387063.982794
65.6973,66.4776,65.4318,65.4861,15873424.254565
66.8958,67.1879,65.8402,66.5052,19108583.982865
69.084,69.1738,68.5927,68.7516,8359533.2019907
69.3908,69.4008,68.6588,68.9538,7384725.5841853
69.0672,69.3307,68.6105,69.1107,6781739.5214087
68.6282,68.9568,68.3332,68.9005,7050463.2568433
69.1373,69.1886,68.3895,68.3895,9420690.349892
68.7417,69.1807,68.6105,68.8127,8125358.1985816
69.1975,69.3139,68.5207,68.9005,8896923.9093053
69.2794,69.3208,68.1961,68.714,10272552.163072
68.9005,69.7678,68.4881,68.9538,9441751.6559014
69.5309,69.7362,69.0209,69.2794,8945690.8981117
68.4142,69.9069,68.2149,69.4974,10272064.604684
68.1883,69.2794,67.8499,68.9785,13573302.17866
69.6819,69.7786,67.7493,68.0462,13668967.013513
69.8318,70.7632,69.6129,69.6996,11415918.142492
68.5296,69.5763,68.5296,69.3139,14625111.585488
67.2816,68.9617,67.0813,68.3895,12839752.844964
